"badword","kb_idx","numOccurKB","song_name","og_artist","og_idx","numOccurOG","category","anchored","year","isCensored","isPresent","ogCase1","kbReplace1"
"legs",552,0,"watch me (whip / nae nae)","Silento",703,7,"sexual","^legs$",2015,1,1,"Now break your legs (Break 'em) break your legs (Brake the knob)","Watch me nae nae (Want me do it?)"
"kill",552,0,"watch me (whip / nae nae)","Silento",703,6,"violence","^kill",2015,1,1,"Now watch me whip (Kill it!)","Now watch me whip (Whip it!)"
"leg",552,0,"watch me (whip / nae nae)","Silento",703,8,"sexual","^leg$",2015,1,1,"Do the stanky leg (Stank) do the stanky leg (Stank-stank)","Bop bop bop bop bop bop bop bop bop"
"dress",555,0,"we don't talk anymore","Charlie Puth",704,3,"sexual","^dress$",2017,1,1,"What kind of dress you're wearing tonight","Don't wanna know"
"overdose",555,0,"we don't talk anymore","Charlie Puth",704,3,"alcohol & drugs","^overdose",2017,1,1,"I overdosed","The way I did before"
"sex",564,0,"what a girl wants","Christina Aguilera",530,1,"sexual","^sex",2001,1,1,"Sexy, cool, like you","Somebody down when the goin' gets rough"
"man",NA,0,"what goes around... / ...comes around (interlude)","Justin Timberlake",533,1,"identity","^man$",2007,1,1,"Is he everything you wanted in a man?",NA
"bleed",NA,0,"what goes around... / ...comes around (interlude)","Justin Timberlake",533,1,"violence","^bleed",2007,1,1,"When you cheated, girl, my heart bleeded, girl",NA
"body",566,1,"whatever it takes","Imagine Dragons",536,2,"sexual","^body$",2018,1,1,"Looking at my body feeling miserable","Looking at my body feeling miserable"
"die",566,0,"whatever it takes","Imagine Dragons",536,1,"violence","^die$",2018,1,1,"At least I'll go down to the grave and die happily","'Cause I love the adrenaline in my veins"
"sex",571,0,"when i grow up","The Pussycat Dolls",537,4,"sexual","^sex",2009,1,1,"Boys call you sexy (What's up, sexy?)","Boys call you crazy"
"clothes",574,0,"when you're gone","Avril Lavigne",539,1,"sexual","^clothes$",2008,1,1,"And the clothes you left, they lie on the floor","When you walk away I count the steps that you take"
"fuck",576,0,"where’d you go","Fort Minor",714,3,"profanity","fuck",2006,1,1,"So, I want you to know it's a little fucked up","But I feel like an idiot, working my day around a call"
"shit",576,0,"where’d you go","Fort Minor",714,3,"profanity","^shit",2006,1,1,"She said, ""Some days, I feel like shit","Seems like it's been forever"
"shit",579,0,"who do you love","The Chainsmokers",544,1,"profanity","^shit",2019,1,1,"This shit is keepin' me up at night",NA
"sleep",579,0,"who do you love","The Chainsmokers",544,4,"sexual","^sleep",2019,1,1,"Where you been sleepin'?","Where you been leavin'? (Hey)"
"smoke",579,0,"who do you love","The Chainsmokers",544,1,"alcohol & drugs","^smoke",2019,1,1,"Even though you don't even smoke","Even though you don't even know"
"punch",580,0,"who knew","P!nk",545,2,"violence","^punch",2008,1,1,"I'd stand up and punch them out","I'd stand up and call them loud"
"woman",581,1,"who let the dogs out","Baha Men",715,3,"identity","^woman$",2002,1,1,"I heard a woman shout out","I see ya' little speed boat head up our coast"
"high",587,1,"wild ones","Flo Rida",549,2,"alcohol & drugs","^high$",2012,1,1,"Take me so high","Oooh"
"clothes",586,0,"wildest dreams","Taylor Swift",550,1,"sexual","^clothes$",2016,1,1,"His hands are in my hair, his clothes are in my room","He looks across the room"
"hell",586,0,"wildest dreams","Taylor Swift",550,2,"profanity","^hell$",2016,1,1,"He's so tall and handsome as hell","But this is gonna take me down"
"fuck",NA,0,"without me","Halsey",555,2,"profanity","fuck",2019,1,1,"And if they laugh, then fuck 'em all (All)",NA
"demon",NA,0,"without me","Halsey",555,1,"other","^demon",2019,1,1,"Just runnin' from the demons in your mind",NA
"high",NA,0,"without me","Halsey",555,3,"alcohol & drugs","^high$",2019,1,1,"Feelin' so high, but too far away to hold me",NA
"sleep",589,0,"without you","David Guetta",556,1,"sexual","^sleep",2012,1,1,"I can't take one more sleepless night","I can't quit now, this can't be right"
"drunk",591,0,"wolves","Selena Gomez & Marshmello",557,2,"alcohol & drugs","^drunk",2018,1,1,"Drunk on a feeling, alone with the stars in the sky","Lost in a feeling, alone with the stars in the sky"
"wine",591,0,"wolves","Selena Gomez & Marshmello",557,1,"alcohol & drugs","^wine$",2018,1,1,"Water or wine, don't make me choose","Water or food, don't make me choose"
"nigga",593,0,"work","Rihanna",558,1,"profanity","^nigga",2016,1,1,"I got niggas tryna end me, oh","Now you need to forward and give me all the..."
"club",594,0,"worth it","Fifth Harmony",559,2,"other","^club$",2015,1,1,"Uh in the club with the lights off","Uh huh I'm worth it"
"damn",596,0,"written in the stars","Tinie Tempah",719,2,"profanity","^damn",2011,1,1,"Look at my jacket and hat, so damn berserk","So down to earth I'm bringing gravity back"
"pray",596,0,"written in the stars","Tinie Tempah",719,1,"other","^pray",2011,1,1,"For a sec, I even gave up believing and praying","But have you ever been so hungry it keeps you awake"
"fuck",596,0,"written in the stars","Tinie Tempah",719,1,"profanity","fuck",2011,1,1,"Cause I got more fuckin' hits than a disciplined child","So when they see me everybody baraap baraap"
"illegal",596,0,"written in the stars","Tinie Tempah",719,1,"violence","^illegal",2011,1,1,"I even done illegal stuff and was leaded astray","May, now my hunger will leave them amazed, great"
"man",596,1,"written in the stars","Tinie Tempah",719,2,"identity","^man$",2011,1,1,"Man I’m like a young gun fully black Barack","My criteria drops over the massive attack"
"cigarette",599,0,"you found me","The Fray",564,1,"alcohol & drugs","^cigarette",2009,1,1,"All alone smoking his last cigarette","All alone saying that we never met"
"god",599,0,"you found me","The Fray",564,1,"other","^god",2009,1,1,"I found God on the corner of First and Amistad","I found him on the corner of 1st and Amistad"
"smoking",599,0,"you found me","The Fray",564,1,"alcohol & drugs","^smoking",2009,1,1,"All alone smoking his last cigarette","All alone saying that we never met"
"insane",600,8,"you know you like it","AlunaGeorge",565,12,"other","^insane",2015,1,1,"You know you like it but it drives you insane","You know you like it but it drives you insane"
"man",601,0,"you make me feel...","Cobra Starship",720,1,"identity","^man$",2012,1,1,"Well, then I'm your man","Then grab my hand"
"fight",NA,0,"you say","Lauren Daigle",566,1,"violence","^fight",2019,1,1,"I keep fighting voices in my mind that say I’m not enough",NA
"god",NA,0,"you say","Lauren Daigle",566,1,"other","^god",2019,1,1,"You have every failure, God",NA
"high",NA,0,"you say","Lauren Daigle",566,1,"alcohol & drugs","^high$",2019,1,1,"Am I more than just the sum of every high and every low?",NA
"fuck",603,0,"you're beautiful","James Blunt",567,1,"profanity","fuck",2006,1,1,"She could see from my face that I was, fucking high","You're beautiful, you're beautiful"
"drunk",602,0,"youngblood","5 Seconds of Summer",568,1,"alcohol & drugs","^drunk",2018,1,1,"Then one of us gets too drunk","Then one of us gets too lost"
"damn",602,0,"youngblood","5 Seconds of Summer",568,1,"profanity","^damn",2018,1,1,"You beat me at my own damn game","You beat me at my own big game"
"dead",602,0,"youngblood","5 Seconds of Summer",568,7,"violence","^dead$",2018,1,1,"And I'm just a dead man walking tonight","But I'm just a sad man walking tonight"
"god",602,0,"youngblood","5 Seconds of Summer",568,1,"other","^god",2018,1,1,"Hope to God you see my face","Like to think you see my face (Yeah, ooh, ooh)"
"touch",401,0,"...ready for it?","Taylor Swift",657,3,"sexual","^touch",2018,1,1,"Touch me and you'll never be alone","I, I, I see how this is gon' go"
"touch",401,0,"...ready for it?","Taylor Swift",657,3,"sexual","^touch",2018,1,1,"Touch me and you'll never be alone","I-Island breeze and sunsets low"
"gentlemen",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,4,"identity","^gentlemen$",2005,1,1,"It don't matter to me, we can dance slow (Ladies and gentlemen)",NA
"gentlemen",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,4,"identity","^gentlemen$",2005,1,1,"So swing it over here Mr. DJ (Ladies and gentlemen)",NA
"body",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,3,"sexual","^body$",2005,1,1,"Work ya body, work ya body",NA
"bodies",NA,0,"1, 2 step (ft. missy elliott)","Ciara",4,2,"sexual","^bodies$",2005,1,1,"Whichever way the beat drops, our bodies will flow",NA
"high",1,3,"1985","Bowling for Soup",2,4,"alcohol & drugs","^high$",2005,1,1,"Her two kids in high school","She rocked out to Wham!"
"high",1,3,"1985","Bowling for Soup",2,4,"alcohol & drugs","^high$",2005,1,1,"Her two kids in high school","Way before Nirvana"
"high",1,3,"1985","Bowling for Soup",2,4,"alcohol & drugs","^high$",2005,1,1,"Her two kids in high school","Make it stop"
"shit",4,0,"24k magic","Bruno Mars",5,2,"profanity","^shit",2016,1,1,"Spend your money like money ain't shit (Whoop, whoop)","Hey kids"
"man",4,0,"24k magic","Bruno Mars",5,2,"identity","^man$",2016,1,1,"I'm a dangerous man with some money in my pocket","(Wooh)"
"crime",NA,0,"2u (ft. justin bieber)","David Guetta",6,3,"violence","^crime",2017,1,1,"When it comes to you, there's no crime",NA
"crime",NA,0,"2u (ft. justin bieber)","David Guetta",6,3,"violence","^crime",2017,1,1,"When it comes to you, there's no crime",NA
"bitch",6,0,"7 rings","Ariana Grande",8,2,"profanity","^bitch",2019,1,1,"Bought matching diamonds for six of my bitches","Bought matching diamonds so they know what this is"
"cigarette",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^cigarette",2010,1,1,"Just smoke my cigarette and hush","And now he's gonna fight your fight"
"cigarette",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^cigarette",2010,1,1,"Just smoke my cigarette and hush","Ale-ale-jandro"
"cigarette",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^cigarette",2010,1,1,"Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)","Alejandro"
"smoke",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^smoke",2010,1,1,"Just smoke my cigarette and hush","And now he's gonna fight your fight"
"smoke",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^smoke",2010,1,1,"Just smoke my cigarette and hush","Ale-ale-jandro"
"smoke",13,0,"alejandro","Lady Gaga",15,4,"alcohol & drugs","^smoke",2010,1,1,"Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)","Alejandro"
"kiss",13,0,"alejandro","Lady Gaga",15,5,"sexual","^kiss",2010,1,1,"Don't wanna kiss, don't wanna touch","Burned before him"
"kiss",13,0,"alejandro","Lady Gaga",15,5,"sexual","^kiss",2010,1,1,"Don't wanna kiss","Don't wanna miss"
"kiss",13,0,"alejandro","Lady Gaga",15,5,"sexual","^kiss",2010,1,1,"Don't wanna kiss, don't wanna touch","Alejandro"
"kiss",13,0,"alejandro","Lady Gaga",15,5,"sexual","^kiss",2010,1,1,"(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro","I'm not your girl"
"touch",13,0,"alejandro","Lady Gaga",15,5,"sexual","^touch",2010,1,1,"Don't wanna kiss, don't wanna touch","Burned before him"
"touch",13,0,"alejandro","Lady Gaga",15,5,"sexual","^touch",2010,1,1,"Don't wanna touch","Don't want too much"
"touch",13,0,"alejandro","Lady Gaga",15,5,"sexual","^touch",2010,1,1,"Don't wanna kiss, don't wanna touch","Alejandro"
"touch",13,0,"alejandro","Lady Gaga",15,5,"sexual","^touch",2010,1,1,"(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro","I'm not your girl"
"booty",15,0,"all about that bass","Meghan Trainor",18,11,"sexual","^booty",2015,1,1,"(That booty, booty, uh, that booty booty)","We know that it ain't real"
"booty",15,0,"all about that bass","Meghan Trainor",18,11,"sexual","^booty",2015,1,1,"Hey, I'm bringing booty back","So if that's what you're into then go ahead and move along"
"booty",15,0,"all about that bass","Meghan Trainor",18,11,"sexual","^booty",2015,1,1,"She says, boys like a little more booty to hold at night","I'm all about that bass"
"booty",15,0,"all about that bass","Meghan Trainor",18,11,"sexual","^booty",2015,1,1,"(That booty, booty, uh, that booty booty)","'Bout that bass, no treble"
"curve",17,0,"all of me","John Legend",19,3,"sexual","^curve",2014,1,1,"Love your curves and all your edges","Give me all of you"
"curve",17,0,"all of me","John Legend",19,3,"sexual","^curve",2014,1,1,"Love your curves and all your edges",NA
"shit",21,0,"all time low","Jon Bellion",23,6,"profanity","^shit",2017,1,1,"But that shit's broken, that shit's broken","That I'm at an all time"
"shit",21,0,"all time low","Jon Bellion",23,6,"profanity","^shit",2017,1,1,"But that shit's broken, that shit's broken","That I'm at an all time"
"clothes",24,1,"american boy","Estelle",27,2,"sexual","^clothes$",2009,1,1,"Am I shallow ‘cause all my clothes designer?",NA
"man",34,0,"are you gonna be my girl","Jet (band)",33,3,"identity","^man$",2004,1,1,"But you were with another man, yeah","Big black boots"
"man",34,0,"are you gonna be my girl","Jet (band)",33,3,"identity","^man$",2004,1,1,"But you were with another man, yeah","But you were with another boy, yeah"
"dress",38,3,"attention","Charlie Puth",35,4,"sexual","^dress$",2017,1,1,"I know that dress is karma (Dress is karma), perfume regret, yeah","I know that dress is karma, filled with regret"
"dress",38,3,"attention","Charlie Puth",35,4,"sexual","^dress$",2017,1,1,"I know that dress is karma, perfume regret","Maybe you just hate the thought of me with someone new"
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"crazy",NA,0,"axel f","Crazy Frog",36,6,"other","^crazy$",2014,1,1,"This is the Crazy Frog",NA
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"Don't even know what we're fighting for","A battlefield, a battlefield"
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"'Cause baby, we don't have to fight","And I don't want this love to feel like"
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"Don't even know what we're fighting for","Better go and get your armor"
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"(What are we fighting for?)","(Get your armor)"
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"Don't even know what we're fighting for",NA
"fight",46,4,"battlefield","Jordin Sparks",42,7,"violence","^fight",2010,1,1,"Don't even know what we're fighting for",NA
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"I never meant to start a war","Why we gotta fall for it now?"
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"I never meant to start a war","Don't even know what we're fighting for"
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"I never meant to start a war (Start a war)","Why does love always feel like a battlefield?"
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"I never meant to start a war",NA
"war",46,3,"battlefield","Jordin Sparks",42,7,"violence","^war$",2010,1,1,"I never meant to start a war",NA
"god",48,1,"beautiful (bazzi)","Bazzi",577,2,"other","^god",2019,1,1,"Swear to God you're beautiful, yeah","I just had to let you know"
"naked",48,0,"beautiful (bazzi)","Bazzi",577,3,"sexual","^naked",2019,1,1,"But nothing can compare to when you're naked (Hey!)","The way that Gucci look on you amazing (Yeah, yeah)"
"naked",48,0,"beautiful (bazzi)","Bazzi",577,3,"sexual","^naked",2019,1,1,"(Perfect when you naked, together with you)","But nothing can compare to when you're singing"
"damn",49,0,"beautiful girls","Sean Kingston",46,4,"profanity","^damn",2008,1,1,"Damn, all these beautiful girls","You'll have me in denial, in denial"
"damn",49,0,"beautiful girls","Sean Kingston",46,4,"profanity","^damn",2008,1,1,"Damn, all these beautiful girls","You walk to get declined"
"damn",49,0,"beautiful girls","Sean Kingston",46,4,"profanity","^damn",2008,1,1,"Damn, all these beautiful girls","What I'm seein' with my eyes"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"They'll have you suicidal, suicidal","When they say it's over"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"You'll have me suicidal, suicidal","You're way too beautiful, girl"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"They'll have you suicidal, suicidal","Hey, all these beautiful girls"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"You'll have me suicidal, suicidal","You're one of a kind"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"They'll have you suicidal, suicidal","You're way too beautiful, girl"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"You'll have me suicidal, suicidal","You're tellin' me lies"
"suicidal",49,0,"beautiful girls","Sean Kingston",46,18,"other","^suicidal$",2008,1,1,"They'll have you suicidal, suicidal, suicidal, suicidal","And I don't think it's clever"
"champagne",51,0,"beautiful people","Ed Sheeran",48,2,"alcohol & drugs","^champagne$",2019,1,1,"Champagne and rolled-up notes","Surrounded, but still alone"
"body",53,2,"beauty and a beat","Justin Bieber",50,4,"sexual","^body$",2013,1,1,"Girl, I can feel your body rock (Ayy-ayy-ayy)","Baby, do it like you do"
"body",53,2,"beauty and a beat","Justin Bieber",50,4,"sexual","^body$",2013,1,1,"Body rock (Yeah, yeah, yeah)","Is a beauty and a beat"
"body",53,2,"beauty and a beat","Justin Bieber",50,4,"sexual","^body$",2013,1,1,"Girl, I wanna feel your body rock (Let's go, let's go)","Who can make my life complete"
"bullet",57,0,"believer","Imagine Dragons",53,3,"violence","^bullet",2017,1,1,"Pain! Oh, let the bullets fly, oh, let them rain","Inhibited, limited"
"bullet",57,0,"believer","Imagine Dragons",53,3,"violence","^bullet",2017,1,1,"Pain! Oh, let the bullets fly, oh, let them rain","Last things last"
"fuck",66,0,"billionaire","Travie McCoy",60,3,"profanity","fuck",2010,1,1,"I wanna be a billionaire so fucking bad (So bad)",NA
"fuck",66,0,"billionaire","Travie McCoy",60,3,"profanity","fuck",2010,1,1,"I wanna be a billionaire so fucking bad",NA
"high",69,0,"blank space","Taylor Swift",580,3,"alcohol & drugs","^high$",2015,1,1,"If the high was worth the pain","They'll tell you I'm to blame"
"high",69,0,"blank space","Taylor Swift",580,3,"alcohol & drugs","^high$",2015,1,1,"If the high was worth the pain","We'll take this way too far"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane","But I've got a blank space, baby"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane","And you love the game"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane","And I'll write your name"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane","Or with a nasty scar"
"insane",69,0,"blank space","Taylor Swift",580,6,"other","^insane",2015,1,1,"They'll tell you I'm insane",NA
"god",69,0,"blank space","Taylor Swift",580,2,"other","^god",2015,1,1,"""Oh my God, who is she?""","But you'll come back each time you leave"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love","I keep bleeding, keep, keep bleeding love"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep bleeding","You cut me open"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep, keep bleeding love","Trying hard not to hear but they talk so loud"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding","Piercing sounds fill my ears, tryin' to fill with doubt"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love","Yet I know that the goal is to keep me from falling, falling"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding","I'll be wearing these scars for everyone to see"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love","But I don't care what they say, I'm in love with you"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep bleeding","They try to pull me away but they don't know the truth"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep, keep bleeding love","My heart's crippled by the vein that I keep on closing"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding","Ooh, you cut me open and I"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love","Keep bleeding, keep, keep bleeding love"
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep bleeding",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep bleeding (Oohhh)",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"I keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding (I keep...)",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep bleeding",NA
"bleed",70,20,"bleeding love","Leona Lewis",63,26,"violence","^bleed",2008,1,1,"Keep, keep bleeding love",NA
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"You cut me open","But nothing's greater than the rush that comes with your embrace"
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"You cut me open and I","Oh, they find it hard to believe"
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"You cut me open","Keep bleeding, keep, keep bleeding love"
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"You cut me open and I",NA
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"(Ooh, you cut me open and I)",NA
"cut",70,6,"bleeding love","Leona Lewis",63,7,"violence","^cut$",2008,1,1,"Ooh, you cut me open and I",NA
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"I'm on that next shit now","I'm on the supersonic boom"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"Y'all stuck on Super 8 shit, that lo-fi stupid 8-bit","Beats so big I'm steppin' on leprechauns"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"Shitting on y'all wit' the (Boom, boom!)","Boom, boom, boom, gotta get, get"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"Shitting on y'all wit' the (boom, boom!)","Boom, boom, boom, gotta get, get"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"Shitting on y'all wit' the","Boom, boom, boom, gotta get, get"
"shit",72,0,"boom boom pow","The Black Eyed Peas",64,7,"profanity","^shit",2009,1,1,"I'm on that next shit now",NA
"god",74,1,"born this way","Lady Gaga",66,3,"other","^god",2011,1,1,"'Cause God makes no mistakes","I WAS BORN THIS WAY HEY!"
"god",74,1,"born this way","Lady Gaga",66,3,"other","^god",2011,1,1,"'Cause God makes no mistakes",NA
"fuck",NA,0,"​break up with your girlfriend, i'm bored","Ariana Grande",72,2,"profanity","fuck",2019,1,1,"And I never even ever fuckin' met you",NA
"pray",79,2,"breakaway","Kelly Clarkson",74,4,"other","^pray",2005,1,1,"So I prayed (I would pray) I could break away","So I'd pray"
"god",80,0,"breakeven","The Script",75,2,"other","^god",2010,1,1,"Just prayed to a God that I don't believe in","Just praying to a thing that i don't believe in"
"shit",83,0,"breathin","Ariana Grande",76,2,"profanity","^shit",2018,1,1,"I know that all this shit's fabricated","Don't know what else to try, but you tell me every time"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","Done that"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","Come out to play when you are hurt"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","There's certain things that should be left unsaid"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","Tic Tic Tic Tic on the watch"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","My lifes to short for me to stop"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, I’ll be bulletproof","Oh baby your time is runnin out"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, I’ll be bulletproof","I won't let you turn around"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","And tell me now I'm much to proud"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","All you do is fill me up with doubt"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","This time baby"
"bullet",87,10,"bulletproof","La Roux",79,12,"violence","^bullet",2011,1,1,"This time, baby, I’ll be bulletproof","I'll bee bulletproof"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go fucking crazy","Oh yeah"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go fucking crazy (Ahh!)","I'll be Diddy, you be Naomi, whoa-oh"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go fucking crazy","Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"You're fucking delicious, haha","Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go fucking crazy","Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean"
"fuck",91,0,"cake by the ocean","DNCE",81,7,"profanity","fuck",2016,1,1,"Let's lose our minds and go (And go what?) fucking crazy (That's right)","Ah ya ya ya ya I keep on hoping we'll eat cake by the ocean"
"bikini",92,0,"california gurls","Katy Perry",82,4,"sexual","^bikini",2010,1,1,"Daisy Dukes, bikinis on top","California gurls, we're unforgettable"
"bikini",92,0,"california gurls","Katy Perry",82,4,"sexual","^bikini",2010,1,1,"Bikinis, zucchinis, martinis, no weenies","California gurls"
